"——Would you like some juice, Liu Tao? ——",Sorry.,"No, please.","Yes, please.",N/A,,
"——Hi, John! —— ____ in the cinema.",Don’t stand,Don’t shout,Sorry,N/A,,
"——Is this your pen? ——No, ____ .",it isn’t,it is,this isn’t,N/A,,
That ____ my pencil case.,am,are,is,N/A,,
"——Don’t ____ in class, Liu Tao. ——I’m sorry.",talk,talks,talking,N/A,,
"——Mike, is that ____ rubber? ——Yes, it is.",an,you,your,N/A,,
——What’s ____ over there? ——It’s a crayon.,this,that,the,N/A,,
"——This is ____ you, Mike. ——Thank you.",for,in,at,N/A,,
"—— ____ is your pencil box, Liu Tao? ——It’s over there.",What,Where,How,N/A,,
"——Is this ____ lunch box? ——Yes, it is.",I,my,me,N/A,,
——Is this your book? ——,"No, it’s my book.","Yes, it is.",OK.,N/A,,
"—— ____ this your pen? —— ____ , it isn’t.",It’s; No,Is; Yes,Is; No,N/A,,
Your schoolbag is ____ the tree.,at,in,on,N/A,,
"— ____ my dress, Mum? —On the sofa.",What’s,Where,Where’s,N/A,,
—Where’s the ball? —It’s in the ____ .,blackboard,box,door,N/A,,
"—Is that your pen? —No, ____ .",it is,it isn’t,that isn’t,N/A,,
—What’s that? —,A bird.,They are birds.,It’s in the tree.,N/A,,
"—Look at my robot, Mike. —",Thank you.,Here you are.,How lovely!,N/A,,
— ____ are you? —I am eight.,How old,What,How,N/A,,
—This is for you. —,Thank you.,Here you are.,"Yes, it is.",N/A,,
—How old ____ Liu Tao? —He’s seven.,am,is,are,N/A,,
This toy tiger ____ for you.,are,am,is,N/A,,
想知道对方的年龄，你可以问：,How are you?,How old are you?,I’m eight.,N/A,,
送给别人玩具汽车时，你可以说：,This is a toy car.,Thank you.,This toy car is for you.,N/A,,
夸奖别人的玩具熊猫可爱，你可以说：,How lovely!,Thank you.,How beautiful!,N/A,,
告诉别人你今年六岁，你可以说：,I’m five.,I’m six.,How old are you?,N/A,,
别人问你五加四等于多少，你回答：,Its nine.,It’s eight.,It’s six.,N/A,,
—What is it? —It is ____ apple.,a,an,/,N/A,,
"—Look at my pictures, Mike. —",How nice!,Thank you.,Nice to meet you.,N/A,,
— ____ is that boy? —He is my cousin Andy.,What,How,Who,N/A,,
—What are ____ ? —They are pencils.,those,is,that,N/A,,
"—Is it a duck? —Yes,",it isn’t,it is,they aren’t,N/A,,
— ____ —He’s my father.,Who’s that girl?,Who’s that man?,Who’s that woman?,N/A,,
This is my brother. ____ is nine.,He,She,They,N/A,,
—Who’s this woman? —,He’s my brother.,He’s my father.,She’s my mother.,N/A,,
"—Is this ____ ? —No, she isn’t.",your father,your brother,your sister,N/A,,
____ name is Wang Bing.,His,She,He,N/A,,
—Is he your uncle? —,"Yes, he is.","No, she isn’t.","No, she’s my aunt.",N/A,,
Mike’s dog and cat ____ very small.,is,am,are,N/A,,
—How old are you? —,I’m nine.,I’m fine.,I’m here.,N/A,,
"Mum, ____ is my friend Mike.",it,she,this,N/A,,
This is my cousin Millie. ____ is nine years old.,She,Her,I,N/A,,
"---This hot dog is for you, Lingling. -- ____ .",No,Thank you,"Yes, it is.",N/A,,
"This is ____ pen. Look, ____ name is on it.",my; my,I; I,I; my,N/A,,
It’s a ____ pencil!,my,nice,your,N/A,,
Where ____ the bird?,am,is,are,N/A,,
Where ____ the bird?,am,is,are,N/A,,
—Where is my pen? --- ____ .,It’s green.,It’s a pencil..,It’s on the desk.,N/A,,
"This is ____ pen. Look, ____ name is on it.",my; my,I; I.,I; my,N/A,,
-- ____ your ruler? ---It’s in my schoolbag.,What’s,How’s,Where’s,N/A,,
--- ____ my crayon? It’s on the desk.,What’s,Where,Where’s,N/A,,
—Is this your pencil? --- ____ .,"No, it is.",Thank you.,"Yes, it is.",N/A,,
---Look at my bird. -- ____ .,How beautiful!,"Yes, please.",Thank you.,N/A,,
Where ____ the students?,am,is,are,N/A,,
---It’s hot.(热的).. –Please ____ the window.,open,close,don’t,N/A,,
--- ____ is my English book? ---It’s in your schoolbag.,Who,Where,What,N/A,,
--- ____ are you? ---I’m eight.,What,How old,How,N/A,,
--Where’s Liu Tao? --- ____ under the tree.,It’s,He’s,He,N/A,,
"--- ____ that your crayon? --Yes, ____ .",Is; it is,Is; isn’t,Are; they are,N/A,,
---This rubber is for you. ____ --- ____,Yes,I’m sorry,Thank you,N/A,,
Where’s my schoolbag?,That’s my schoolbag,It’s my schoolbag,It’s over there,N/A,,
--Where’s Liu Tao? --- ____ under the tree.,It’s,He’s,He,N/A,,
How old ____ you?,is,am,are,N/A,,
I ____ two.,am,is,are,N/A,,
---Look at the parrot! --- ____ lovely!,What’s,What,How,N/A,,
This pencil is ____ you.,for,at,to,N/A,,
"Is that a pencil? -- ____ , it’s a pen.","Yes, it is","Yes, I am.","No, it isn’t.",N/A,,
---This is for you. ____ --- ____ .,"Yes, it is",OK,Thank you,N/A,,
Where ____ your pencil?,am,is,are,N/A,,
-- ____ are you? --I’m nine.,How,How old,What,N/A,,
It’s time ____ breakfast.,to,for,in,N/A,,
—What time is it? -- ____ .,It’s a clock,I’m seven,It’s ten o’clock.,N/A,,
"Wake ____ , Su Hai.",up,on,at,N/A,,
It’s eight AM. It’s time for ____ .,bed,dinner,class,N/A,,
-- ____ is it? --It’s two o’clock.,What,What colour,What time,N/A,,
— ____ are you? --I’m nine.,How,How old,What time,N/A,,
"Hurry ____ , Tom.",up,on,at,N/A,,
It’s time for ____ .,go to bed,dinner,have dinner,N/A,,
He’s David. He is ____ brother.,my,/,you,N/A,,
____ nice picture!,How,What,What a,N/A,,
We ____ twins.,are,is,am,N/A,,
I can see a bird ____ the tree.,in,on,at,N/A,,
It’s time ____ drink.,for,to,is,N/A,,
"____ these ducks? No, ____ chickens.",Is; it’s,Are; they’re,Is; they’re,N/A,,
-- ____ are they? ---They’re over there.,What,Where,Who,N/A,,
---What colour is the pen? --It’s ____ orange.,a,an,/,N/A,,
—Who is the woman? -- ____ my aunt.,He’s,She’s,she’s,N/A,,
—Is she your aunt? --- ____ .,"Yes, he is.","No, he’s my cousin.","No, she’s my mother.",N/A,,
Mike is ____ brother.,my,me,I,N/A,,
—Who is that ____ ? --He’s my little brother.,boy,woman,man,N/A,,
"It’s hot . ____ the window, please.",Close,open,Open,N/A,,
____ your book and read the story(故事).,Close,Open,Look,N/A,,
You are late. ____ .,"OK, Miss Li.","I’m sorry, Miss Li.",OK.,N/A,,
"____ to your friend, please.",Shout,Talk,Eat,N/A,,
Look，the bird is ____ the tree.,on,at,in,N/A,,
Don’t ____ . My sister is sleeping.,run,sleep,shout,N/A,,
____ is that ? It’s a chair.,What,Where,What colour,N/A,,
____ is my English book ? It’s on the chair.,What,Where,What colour,N/A,,
"Stand ____ ,please.",on,down,up,N/A,,
"It’s too cold(冷). ____ the door, please.",Don’t open,Open,Talk,N/A,,
----- ____ the schoolbag？------ It’s in the desk.,Where,What’s,Where’s,N/A,,
---- Is this a crayon? ----- ____ .,"Yes, it isn’t.","Yes, please.","No, it isn’t.",N/A,,
____ ! A beautiful doll!,look,Look,Look at,N/A,,
"— Don’t listen ____ Sam, Bobby.—OK.",/,for,to,N/A,,
The bird is ____ the tree now.,on,in,/,N/A,,
------What’s ____ over there? ----- It’s ____ orange jacket.,this; an,that; a,that; an,N/A,,
.----- ____ your pencil in the schoolbag?,Is,it’s,Where’s,N/A,,
Is this ____ pen?,you,your,she,N/A,,
____ shout in the library.,It’s,Don’t,Not,N/A,,
Is this ____ English book?,I,you,your,N/A,,
"— Don’t listen ____ Sam, Bobby.—OK.",/,for,to,N/A,,
"It’s too cold(冷). ____ the window, please.",Don’t open,Open,Talk,N/A,,
-- ____ . ____ – It’s on the chair.,Is this a chair?,Where’s the book?,What’s this?,N/A,,
This rubber is for you. .,Yes.,OK.,Thank you.,N/A,,
"-- ____ . ____ -- Yes, Miss Li.",Close the door.,"Good morning, Miss Li.",Where is it?,N/A,,
--- ____ Yang Ling? --- ____ behind the door.,Where's; He's,Where's ; She’s,Where; She's,N/A,,
--Don’t shout. ____ -- ____,Sorry.,No.,"Yes, it is.",N/A,,
— ____ is your schoolbag? ____ —It’s in the desk.,What,Where,Look,N/A,,
—Please look at my skirt. — ____ beautiful!,What,Where,How,N/A,,
This ____ your pen. Your pen is over there.,not,isn’t,no,N/A,,
This is ____ English book.,an,a,/,N/A,,
"—Don’t eat in class, Mike. ____ — ____ .",This is for you.,Thank you.,I’m sorry.,N/A,,
"—I’m hungry. — ____ the pie, please.",Eat,Drink,Look,N/A,,
My father is not here. Where’s ____ ?,he,she,me,N/A,,
Look ____ the blackboard.,in,/,at,N/A,,
"— ____ that your T-shirt? —Yes, ____",Is; that is.,Is; it is.,"Is, it isn’t.",N/A,,
同桌找不到他的橡皮，他可以说：,Where’s your rubber?,Where’s my rubber?,Is this your rubber?,N/A,,
课上有同学在教室讲话，你可以说：,Don’t talk here.,Talk in class.,I’m sorry.,N/A,,
你想让别人坐在你的椅子上，你可以说：,Sit on my desk.,Sit on my chair.,Stand on the desk.,N/A,,
你想告诉别人这不是你的帽子，你可以说：,This is your cap.,This is your cap.,This isn’t my cap.,N/A,,
你想让别人听你说，你可以说：,Please listen to me.,Don’t listen to the parrot.,Look at me.,N/A,,
你想询问别人那是不是他的钢笔时，你可以说：,Where’s my pen?,Is that your pen?,It’s my pen.,N/A,,
____ Su Yang and Su Hai ____ ?,Is;twins,Are;twins,Are;twin,N/A,,
"---You’re late (迟到), Helen. --- ____","OK, Miss Li.","I’m sorry, Miss Li.",All right.,N/A,,
This is Liu Tao. ____ is my brother.,I,He,She,N/A,,
These ____ apples.,is,isn’t,aren’t,N/A,,
Welcome ____ my farm!,for,to,with,N/A,,
---What are these? --- ____ are my pictures.,Those,This,They,N/A,,
--- ____ are you? --- I’m six.,How,Where,What,N/A,,
____ a nice schoolbag!,Who,How,What,N/A,,
It’s time ____ eat the cake.,to,for,in,N/A,,
— ____ my blue jacket? ____ —It’s over there.,What’s,Where,Where’s,N/A,,
"--Are these ____ ? ____ --No, they are pigs.",ducks,pigs,a pig,N/A,,
"Don’t ____ the parrot, Sam.",listen,listen to,talk,N/A,,
你上课迟到了，听到老师说什么你可以进教室：,I’m sorry.,"Sit down, please.","Come in, please.",N/A,,
在图书馆看书，有人在谈话，你应该对他们说：,Don’t shout.,Don’t talk.,Don’t run.,N/A,,
你想告诉同学那不是你的铅笔，你会说：,This is my pencil.,That isn’t my pencil.,This isn’t my pen.,N/A,,
你想问别人这是不是他的叔叔，你会说：,Is this your uncle?,Is this your aunt？,Is that your uncle?,N/A,,
"Mum, ____ is my friend, David.",it,she,this,N/A,,
I can see some pears ____ the tree.,in,on,at,N/A,,
--- ____ is the bag? --- It’s behind the door.,Where,What,Who,N/A,,
Clever Tom makes ice cream ____ his mum.,to,for,at,N/A,,
--- What time is it? --- ____ ____,It’s a clock.,I’m seven.,It’s ten o’clock.,N/A,,
--- Are these pigs? --- ____ ____ .,"Yes, it is.","Yes, they are pigs.","No, it isn’t.",N/A,,
"--- Happy Birthday, Sam! --- ____ a nice cake!",How,It’s,What,N/A,,
--- How old are you? --- ____ .,I’m ten.,It’s ten.,I’m fine.,N/A,,
Don’t ____ the window. It’s cold (冷）.,open,close,run,N/A,,
--- What’s this? --- It’s ____ English book.,an,a,/,N/A,,
Jack has ____ idea. ____ idea sounds great.,an ; An,a ; The,an ; The,N/A,,
----- What’s this? ----- ____ .,A parrots,An rubber,A bird,N/A,,
- ____ Yang Ling? ____ - ____ behind the door.,Where; She's,Where's; She's,Where's ; She,N/A,,
-What’s that? ____ -It’s ____ English book.,a,/,an,N/A,,
"- Is it in your pencil case? - No, ____ .",it's,it is,it isn't,N/A,,
"-It’s too cold(冷). ____ ____ the window, please.",Don’t open,Talk,Open,N/A,,
"- Ha! Ha! Here ____ , Bobby!",you are,is it,are you,N/A,,
"-Is that a rubber? ____ -Yes, ____ ____ is.",that,it’s,it,N/A,,
Mike is sleeping ____ the library.,at,up,in,N/A,,
Listen ＿＿＿ the parrot.,in,at,to,N/A,,
---＿＿＿ the bird? ____ ---It’s over there.,Where,Where’s,where’s,N/A,,
---What’s that? ____ ---It’s ＿＿＿ book.,I,me,my,N/A,,
I want to ＿＿＿ some milk.,drink,eat,run,N/A,,
---Where’s my schoolbag? ____ --- ＿＿＿ .,"No, thank you.",How nice!,On the desk.,N/A,,
This is ＿＿＿ you.,to,for,in,N/A,,
"---Is that ＿＿＿ parrot? ____ ---No, it ＿＿＿ .",you; is,you; isn’t,your; isn’t,N/A,,
"Don’t run, Mike. --- ____ .",I’m sorry.,No. Thank you.,"Hello, Mr Green.",N/A,,
It’s too cold. Please ＿＿＿ the window.,open,close,stand,N/A,,
